,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,"Beautiful People (feat. Khalid)","Ed Sheeran",704413,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
190,PRACTICE,DaBaby,702669,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
191,"Star Shopping","Lil Peep",700287,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
192,"24 (feat. Lil Baby)","Money Man",697229,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
193,"In Your Eyes","The Weeknd",696087,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
194,Safaera,"Bad Bunny",689842,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
195,"10,000 Hours (with Justin Bieber)","Dan + Shay",688692,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
196,"Get You The Moon (feat. Snøw)",Kina,687706,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
197,Photograph,"Ed Sheeran",680362,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
198,"SLOW DANCING IN THE DARK",Joji,677878,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
199,"Sunday Best",Surfaces,676457,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
200,"Let Her Go",Passenger,673744,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
